Overall Score,Country,Happiness Score,GDP per capita,Life Expectancy,Social Support,Freedom,Trust,Generosity
1,Finland,7.632,1.305,0.874,1.592,0.681,0.393,0.202
2,Norway,7.594,1.456,0.861,1.582,0.686,0.34,0.286
3,Denmark,7.555,1.351,0.868,1.59,0.683,0.408,0.284
4,Iceland,7.495,1.343,0.914,1.644,0.677,0.138,0.353
5,Switzerland,7.487,1.42,0.927,1.549,0.66,0.357,0.256
6,Netherlands,7.441,1.361,0.878,1.488,0.638,0.295,0.333
7,Canada,7.328,1.33,0.896,1.532,0.653,0.291,0.321
8,New Zealand,7.324,1.268,0.876,1.601,0.669,0.389,0.365
9,Sweden,7.314,1.355,0.913,1.501,0.659,0.383,0.285
10,Australia,7.272,1.34,0.91,1.573,0.647,0.302,0.361
11,United Kingdom,7.19,1.244,0.888,1.433,0.464,0.082,0.262
12,Austria,7.139,1.341,0.891,1.504,0.617,0.224,0.242
13,Costa Rica,7.072,1.01,0.817,1.459,0.632,0.101,0.143
14,Ireland,6.977,1.448,0.876,1.583,0.614,0.306,0.307
15,Germany,6.965,1.34,0.861,1.474,0.586,0.28,0.273
16,Belgium,6.927,1.324,0.894,1.483,0.583,0.24,0.188
17,Luxembourg,6.91,1.576,0.896,1.52,0.632,0.321,0.196
18,United States,6.886,1.398,0.819,1.471,0.547,0.133,0.291
19,Israel,6.814,1.301,0.883,1.559,0.533,0.272,0.354
20,United Arab Emirates,6.774,2.096,0.67,0.776,0.284,N/A,0.186
21,Czech Republic,6.711,1.233,0.854,1.489,0.543,0.034,0.064
22,Malta,6.627,1.27,0.884,1.525,0.645,0.142,0.376
23,France,6.489,1.293,0.908,1.466,0.52,0.176,0.098
24,Mexico,6.488,1.038,0.761,1.252,0.479,0.095,0.069
25,Chile,6.476,1.131,0.808,1.331,0.431,0.061,0.197
26,Taiwan,6.441,1.365,0.857,1.436,0.418,0.078,0.151
27,Panama,6.43,1.112,0.759,1.438,0.597,0.063,0.125
28,Brazil,6.419,0.986,0.675,1.474,0.493,0.088,0.11
29,Argentina,6.388,1.073,0.744,1.468,0.57,0.054,0.062
30,Guatemala,6.382,0.781,0.608,1.268,0.604,0.071,0.179
31,Uruguay,6.379,1.093,0.771,1.459,0.625,0.155,0.13
32,Qatar,6.374,1.649,0.748,1.303,0.654,0.171,0.256
33,Saudi Arabia,6.371,1.379,0.633,1.331,0.509,0.127,0.098
34,Singapore,6.343,1.529,1.008,1.451,0.631,0.457,0.261
35,Malaysia,6.322,1.161,0.669,1.258,0.356,0.059,0.311
36,Spain,6.31,1.251,0.965,1.538,0.449,0.074,0.142
37,Colombia,6.26,0.96,0.635,1.439,0.531,0.039,0.099
38,Trinidad & Tobago,6.192,1.223,0.564,1.492,0.575,0.019,0.171
39,Slovakia,6.173,1.21,0.776,1.537,0.354,0.014,0.118
40,El Salvador,6.167,0.806,0.639,1.231,0.461,0.082,0.065
41,Nicaragua,6.141,0.668,0.7,1.319,0.527,0.128,0.208
42,Poland,6.123,1.176,0.781,1.448,0.546,0.064,0.108
43,Bahrain,6.105,1.338,0.698,1.366,0.594,0.123,0.243
44,Uzbekistan,6.096,0.719,0.605,1.584,0.724,0.259,0.328
45,Kuwait,6.083,1.474,0.675,1.301,0.554,0.106,0.167
46,Thailand,6.072,1.016,0.707,1.417,0.637,0.029,0.364
47,Italy,6,1.264,0.946,1.501,0.281,0.028,0.137
48,Ecuador,5.973,0.889,0.736,1.33,0.556,0.12,0.114
49,Belize,5.956,0.807,0.474,1.101,0.593,0.089,0.183
50,Lithuania,5.952,1.197,0.716,1.527,0.35,0.006,0.026
51,Slovenia,5.948,1.219,0.856,1.506,0.633,0.051,0.16
52,Romania,5.945,1.116,0.726,1.219,0.528,0.001,0.088
53,Latvia,5.933,1.148,0.671,1.454,0.363,0.066,0.092
54,Japan,5.915,1.294,0.988,1.462,0.553,0.15,0.079
55,Mauritius,5.891,1.09,0.684,1.387,0.584,0.05,0.245
56,Jamaica,5.89,0.819,0.693,1.493,0.575,0.031,0.096
57,South Korea,5.875,1.266,0.955,1.204,0.244,0.051,0.175
58,Northern Cyprus,5.835,1.229,0.909,1.211,0.495,0.154,0.179
59,Russia,5.81,1.151,0.599,1.479,0.399,0.025,0.065
60,Kazakhstan,5.79,1.143,0.631,1.516,0.454,0.121,0.148
61,Cyprus,5.762,1.229,0.909,1.191,0.423,0.035,0.202
62,Bolivia,5.752,0.751,0.508,1.223,0.606,0.054,0.141
63,Estonia,5.739,1.2,0.737,1.532,0.553,0.174,0.086
64,Paraguay,5.681,0.835,0.615,1.522,0.541,0.074,0.162
65,Peru,5.663,0.934,0.674,1.249,0.53,0.034,0.092
66,Kosovo,5.662,0.855,0.578,1.23,0.448,0.023,0.274
67,Moldova,5.64,0.657,0.62,1.301,0.232,0,0.171
68,Turkmenistan,5.636,1.016,0.517,1.533,0.417,0.037,0.199
69,Hungary,5.62,1.171,0.732,1.401,0.259,0.022,0.061
70,Libya,5.566,0.985,0.553,1.35,0.496,0.148,0.116
71,Philippines,5.524,0.775,0.513,1.312,0.643,0.105,0.12
72,Honduras,5.504,0.62,0.622,1.205,0.459,0.074,0.197
73,Belarus,5.483,1.039,0.7,1.498,0.307,0.154,0.101
74,Turkey,5.483,1.148,0.686,1.38,0.324,0.109,0.106
75,Pakistan,5.472,0.652,0.424,0.81,0.334,0.113,0.216
76,Hong Kong,5.43,1.405,1.03,1.29,0.524,0.291,0.246
77,Portugal,5.41,1.188,0.884,1.429,0.562,0.017,0.055
78,Serbia,5.398,0.975,0.685,1.369,0.288,0.043,0.134
79,Greece,5.358,1.154,0.879,1.202,0.131,0.044,0
80,Lebanon,5.358,0.965,0.785,1.179,0.503,0.136,0.214
81,Montenegro,5.347,1.017,0.729,1.279,0.259,0.081,0.111
82,Croatia,5.321,1.115,0.737,1.161,0.38,0.039,0.12
83,Dominican Republic,5.302,0.982,0.614,1.441,0.578,0.106,0.12
84,Algeria,5.295,0.979,0.687,1.154,0.077,0.135,0.055
85,Morocco,5.254,0.779,0.669,0.797,0.46,0.074,0.026
86,China,5.246,0.989,0.799,1.142,0.597,0.103,0.029
87,Azerbaijan,5.201,1.024,0.603,1.161,0.43,0.176,0.031
88,Tajikistan,5.199,0.474,0.598,1.166,0.292,0.034,0.187
89,Macedonia,5.185,0.959,0.691,1.239,0.394,0.052,0.173
90,Jordan,5.161,0.822,0.645,1.265,0.468,0.134,0.13
91,Nigeria,5.155,0.689,0.048,1.172,0.462,0.032,0.201
92,Kyrgyzstan,5.131,0.53,0.594,1.416,0.54,0.035,0.281
93,Bosnia and Herzegovina,5.129,0.915,0.758,1.078,0.28,0,0.216
94,Mongolia,5.125,0.914,0.575,1.517,0.395,0.032,0.253
95,Vietnam,5.103,0.715,0.702,1.365,0.618,0.079,0.177
96,Indonesia,5.093,0.899,0.522,1.215,0.538,0.018,0.484
97,Bhutan,5.082,0.796,0.527,1.335,0.541,0.171,0.364
98,Somalia,4.982,0,0.115,0.712,0.674,0.282,0.238
99,Cameroon,4.975,0.535,0.182,0.891,0.454,0.043,0.183
100,Bulgaria,4.933,1.054,0.712,1.515,0.359,0.009,0.064
101,Nepal,4.88,0.425,0.539,1.228,0.526,0.078,0.302
102,Venezuela,4.806,0.996,0.657,1.469,0.133,0.052,0.056
103,Gabon,4.758,1.036,0.404,1.164,0.356,0.052,0.032
104,Palestinian Territories,4.743,0.642,0.602,1.217,0.266,0.076,0.086
105,South Africa,4.724,0.94,0.33,1.41,0.516,0.056,0.103
106,Iran,4.707,1.059,0.691,0.771,0.459,0.129,0.282
107,Ivory Coast,4.671,0.541,0.08,0.872,0.467,0.103,0.146
108,Ghana,4.657,0.592,0.337,0.896,0.499,0.029,0.212
109,Senegal,4.631,0.429,0.433,1.117,0.406,0.082,0.138
110,Laos,4.623,0.72,0.441,1.034,0.626,0.174,0.23
111,Tunisia,4.592,0.9,0.69,0.906,0.271,0.063,0.04
112,Albania,4.586,0.916,0.79,0.817,0.419,0.032,0.149
113,Sierra Leone,4.571,0.256,0,0.813,0.355,0.053,0.238
114,Congo (Brazzaville),4.559,0.682,0.343,0.811,0.514,0.077,0.091
115,Bangladesh,4.5,0.532,0.579,0.85,0.58,0.144,0.153
116,Sri Lanka,4.471,0.918,0.672,1.314,0.585,0.05,0.307
117,Iraq,4.456,1.01,0.536,0.971,0.304,0.095,0.148
118,Mali,4.447,0.37,0.152,1.233,0.367,0.056,0.139
119,Namibia,4.441,0.874,0.365,1.281,0.519,0.064,0.051
120,Cambodia,4.433,0.549,0.457,1.088,0.696,0.065,0.256
121,Burkina Faso,4.424,0.314,0.254,1.097,0.312,0.128,0.175
122,Egypt,4.419,0.885,0.553,1.025,0.312,0.107,0.092
123,Mozambique,4.417,0.198,0.173,0.902,0.531,0.158,0.206
124,Kenya,4.41,0.493,0.454,1.048,0.504,0.055,0.352
125,Zambia,4.377,0.562,0.295,1.047,0.503,0.082,0.221
126,Mauritania,4.356,0.557,0.292,1.245,0.129,0.093,0.134
127,Ethiopia,4.35,0.308,0.391,0.95,0.452,0.146,0.22
128,Georgia,4.34,0.853,0.643,0.592,0.375,0.215,0.038
129,Armenia,4.321,0.816,0.666,0.99,0.26,0.028,0.077
130,Myanmar,4.308,0.682,0.429,1.174,0.58,0.178,0.598
131,Chad,4.301,0.358,0.053,0.907,0.189,0.06,0.181
132,Congo (Kinshasa),4.245,0.069,0.204,1.136,0.312,0.052,0.197
133,India,4.19,0.721,0.485,0.747,0.539,0.093,0.172
134,Niger,4.166,0.131,0.221,0.867,0.39,0.099,0.175
135,Uganda,4.161,0.322,0.237,1.09,0.45,0.061,0.259
136,Benin,4.141,0.378,0.24,0.372,0.44,0.067,0.163
137,Sudan,4.139,0.605,0.312,1.24,0.016,0.082,0.134
138,Ukraine,4.103,0.793,0.609,1.413,0.163,0.011,0.187
139,Togo,3.999,0.259,0.253,0.474,0.434,0.101,0.158
140,Guinea,3.964,0.344,0.211,0.792,0.394,0.094,0.185
141,Lesotho,3.808,0.472,0.079,1.215,0.423,0.112,0.116
142,Angola,3.795,0.73,0.269,1.125,0,0.061,0.079
143,Madagascar,3.774,0.262,0.402,0.908,0.221,0.049,0.155
144,Zimbabwe,3.692,0.357,0.248,1.094,0.406,0.099,0.132
145,Afghanistan,3.632,0.332,0.255,0.537,0.085,0.036,0.191
146,Botswana,3.59,1.017,0.417,1.174,0.557,0.092,0.042
147,Malawi,3.587,0.186,0.306,0.541,0.531,0.08,0.21
148,Haiti,3.582,0.315,0.289,0.714,0.025,0.104,0.392
149,Liberia,3.495,0.076,0.267,0.858,0.419,0.03,0.206
150,Syria,3.462,0.689,0.539,0.382,0.088,0.144,0.376
151,Rwanda,3.408,0.332,0.4,0.896,0.636,0.444,0.2
152,Yemen,3.355,0.442,0.343,1.073,0.244,0.064,0.083
153,Tanzania,3.303,0.455,0.381,0.991,0.481,0.097,0.27
154,South Sudan,3.254,0.337,0.177,0.608,0.112,0.106,0.224
155,Central African Republic,3.083,0.024,0.01,0,0.305,0.038,0.218
156,Burundi,2.905,0.091,0.145,0.627,0.065,0.076,0.149